Town,Year,Variable,Value
West Haven,1999,Major Employer 1,Vets Health Adm. Med. Center
West Haven,1999,Major Employer 2,Bayer Corp.
West Haven,1999,Major Employer 3,University of New Haven
West Haven,1999,Major Employer 4,"Cover-It, Inc."
West Haven,1999,Major Employer 5,The Bilco Co.
West Haven,1999,Major Employer 6,Premier Roofing Co.
West Haven,1999,Major Employer 7,Bentley Gardens Health Care Center
West Haven,1999,Major Employer 8,Center For Optimum Care
West Haven,1999,Major Employer 9,Apple Healthcare Inc. Harbor View Manor
West Haven,1999,Major Employer 10,West Wynde Nursing Center
Woodbridge,1999,Major Employer 1,"Thompson Information, Inc."
Woodbridge,1999,Major Employer 2,Willows of Woodbridge
Woodbridge,1999,Major Employer 3,14 Karat
Woodbridge,1999,Major Employer 4,"Woodbridge Country Club, Inc."
Woodbridge,1999,Major Employer 5,Staff Builders
Woodbridge,1999,Major Employer 6,Plastics Forming Co.
Woodbridge,1999,Major Employer 7,"Bailey Moore Glazer Schaefer & Proto, CPA"
Woodbridge,1999,Major Employer 8,Congregation BNai Jacob
Woodbridge,1999,Major Employer 9,Jewish Fed. of Greater New Haven --Jewish Comm. Ctr.
Woodbridge,1999,Major Employer 10,Global Recycling Corp
Litchfield,2001,Major Employer 1,"Education Connection, Inc."
Litchfield,2001,Major Employer 2,CT Junior Republic
Litchfield,2001,Major Employer 3,Litchfield District Schools
Litchfield,2001,Major Employer 4,First National Bank of Litchfield
Litchfield,2001,Major Employer 5,Stop & Shop
Litchfield,2001,Major Employer 6,Cablevision of Litchfield
Litchfield,2001,Major Employer 7,Rose Haven
Litchfield,2001,Major Employer 8,Litchfield Bancorp
Litchfield,2001,Major Employer 9,Town of Litchfield
Litchfield,2001,Major Employer 10,Visiting Nurse and Home Care
Andover,2002,Major Employer 1,Town of Andover
Andover,2002,Major Employer 2,"Scott Electrokrafts, Inc."
Andover,2002,Major Employer 3,MTM Corp.
Andover,2002,Major Employer 4,Protech
Andover,2002,Major Employer 5,SDR Industries
Andover,2002,Major Employer 6,
Andover,2002,Major Employer 7,
Andover,2002,Major Employer 8,
Andover,2002,Major Employer 9,
Andover,2002,Major Employer 10,
Ansonia,2002,Major Employer 1,Ansonia Copper & Brass
Ansonia,2002,Major Employer 2,Big Y Supermarket
Ansonia,2002,Major Employer 3,City of Ansonia
Ansonia,2002,Major Employer 4,Farrell Corporation
Ansonia,2002,Major Employer 5,Hershey Metal Products
Ansonia,2002,Major Employer 6,Hilltop Health Center
Ansonia,2002,Major Employer 7,"Spectrum Plastics Resources, Inc."
Ansonia,2002,Major Employer 8,Stop & Shop Supermarkets
Ansonia,2002,Major Employer 9,
Ansonia,2002,Major Employer 10,
Ashford,2002,Major Employer 1,Ashford Board of Education
Ashford,2002,Major Employer 2,Town of Ashford
Ashford,2002,Major Employer 3,Midway Restaurant
Ashford,2002,Major Employer 4,Extra Mart / Dunkin Donuts
Ashford,2002,Major Employer 5,Country Gourmet Restaurant
Ashford,2002,Major Employer 6,Yeagle Technologies
Ashford,2002,Major Employer 7,North Veterinary Clinic
Ashford,2002,Major Employer 8,Whitehouse Auto Sales
Ashford,2002,Major Employer 9,Krukoff Excarators
Ashford,2002,Major Employer 10,Box Office Video
Avon,2002,Major Employer 1,Town of Avon
Avon,2002,Major Employer 2,CT On-Line Computer
Avon,2002,Major Employer 3,Walmart
Avon,2002,Major Employer 4,Big Y Supermarket
Avon,2002,Major Employer 5,"Avon Health Center, Inc"
Avon,2002,Major Employer 6,Eastern Color Printing
Avon,2002,Major Employer 7,The Hartford
Avon,2002,Major Employer 8,
Avon,2002,Major Employer 9,
Avon,2002,Major Employer 10,
Barkhamsted,2002,Major Employer 1,The Hitchcock Chair Co Ltd
Barkhamsted,2002,Major Employer 2,Old Riverton Inn
Barkhamsted,2002,Major Employer 3,Duralite Incorporated
Barkhamsted,2002,Major Employer 4,Light Stat
Barkhamsted,2002,Major Employer 5,Sterling Engineering
Barkhamsted,2002,Major Employer 6,Hitchcock Fine Home Furnishings
Barkhamsted,2002,Major Employer 7,
Barkhamsted,2002,Major Employer 8,
Barkhamsted,2002,Major Employer 9,
Barkhamsted,2002,Major Employer 10,
Beacon Falls,2002,Major Employer 1,"Baker Choice Products, Inc."
Beacon Falls,2002,Major Employer 2,Cooper Industries / Ideal Manufacturing
Beacon Falls,2002,Major Employer 3,"Franzus Company, Inc."
Beacon Falls,2002,Major Employer 4,Ideal Products
Beacon Falls,2002,Major Employer 5,Knapp Container Manufacturer
Beacon Falls,2002,Major Employer 6,Stamford Data Processing Corp
Beacon Falls,2002,Major Employer 7,Thomas Nelson Gifts
Beacon Falls,2002,Major Employer 8,"MIR, Inc."
Beacon Falls,2002,Major Employer 9,Naugatuck Valley Savings and Loan
Beacon Falls,2002,Major Employer 10,
Berlin,2002,Major Employer 1,Northeast Utilites
Berlin,2002,Major Employer 2,Town of Berlin
Berlin,2002,Major Employer 3,Corbin Russwin Inc.
Berlin,2002,Major Employer 4,RMS
Berlin,2002,Major Employer 5,AT + T Cable Services
Berlin,2002,Major Employer 6,Sam's Club Store 6636
Berlin,2002,Major Employer 7,Indalex Aluminum Solutions
Berlin,2002,Major Employer 8,Reliance Automotive
Berlin,2002,Major Employer 9,Parker Skinner Valve
Berlin,2002,Major Employer 10,Sweetheart Cup-Kensington Cup Facility
Bethany,2002,Major Employer 1,Laticrete International Inc.
Bethany,2002,Major Employer 2,Sorensen Transportation
Bethany,2002,Major Employer 3,Mason-Madison
Bethany,2002,Major Employer 4,Uniroyal Chemical
Bethany,2002,Major Employer 5,Keystone Kennels
Bethany,2002,Major Employer 6,Bethany Veterinary Hospital
Bethany,2002,Major Employer 7,Dagar Software Corp
Bethany,2002,Major Employer 8,Bethany Public Schools
Bethany,2002,Major Employer 9,Amity Regional School District
Bethany,2002,Major Employer 10,CT Sheet Metal
Bethel,2002,Major Employer 1,Duracell Inc
Bethel,2002,Major Employer 2,Eaton Corporation
Bethel,2002,Major Employer 3,Consolidated Controls
Bethel,2002,Major Employer 4,Bethel Food Market Inc
Bethel,2002,Major Employer 5,Cannondale Corporation
Bethel,2002,Major Employer 6,Bethel Health Care Center
Bethel,2002,Major Employer 7,Kanthal Corporation
Bethel,2002,Major Employer 8,Northern Business Center
Bethel,2002,Major Employer 9,Contest Partner New Letter
Bethel,2002,Major Employer 10,Worth Construction Inc
Bethlehem,2002,Major Employer 1,Wellspring Foundation Inc
Bethlehem,2002,Major Employer 2,Painted Pony Restaurant
Bethlehem,2002,Major Employer 3,Regina Laudis Abbey
Bethlehem,2002,Major Employer 4,Connecticut Wells Inc/SDS Water Service
Bethlehem,2002,Major Employer 5,Woodhall School Inc
Bethlehem,2002,Major Employer 6,Bethlehem Post Office
Bethlehem,2002,Major Employer 7,Bethlehem Elementary School
Bethlehem,2002,Major Employer 8,Town of Bethlehem
Bethlehem,2002,Major Employer 9,Russell Lumber Company
Bethlehem,2002,Major Employer 10,"American Asphalt, Inc."
Bloomfield,2002,Major Employer 1,CIGNA
Bloomfield,2002,Major Employer 2,Kaman Corporation
Bloomfield,2002,Major Employer 3,Jacobs Manufacturing
Bloomfield,2002,Major Employer 4,JDS Uniphase
Bloomfield,2002,Major Employer 5,Otis Service Center
Bloomfield,2002,Major Employer 6,The JM Ney Co.
Bloomfield,2002,Major Employer 7,Birken Mfg.
Bloomfield,2002,Major Employer 8,Bloomfield Health Care Center
Bloomfield,2002,Major Employer 9,Alexandria maner
Bloomfield,2002,Major Employer 10,Duncaster Retirement Community
Bolton,2002,Major Employer 1,"Simoniz, USA"
Bolton,2002,Major Employer 2,Munson's Candies
Bolton,2002,Major Employer 3,Bolton Veterinary Hospital
Bolton,2002,Major Employer 4,Bruedan Corporation
Bolton,2002,Major Employer 5,TCI Cable
Bolton,2002,Major Employer 6,
Bolton,2002,Major Employer 7,
Bolton,2002,Major Employer 8,
Bolton,2002,Major Employer 9,
Bolton,2002,Major Employer 10,
Bozrah,2002,Major Employer 1,Land O' Lakes
Bozrah,2002,Major Employer 2,United Parcel Service
Bozrah,2002,Major Employer 3,Fields Memorial School
Bozrah,2002,Major Employer 4,Gilman Gear
Bozrah,2002,Major Employer 5,Gilman Brothers
Bozrah,2002,Major Employer 6,Gilman Corp.
Bozrah,2002,Major Employer 7,Sterling Moving and Storage
Bozrah,2002,Major Employer 8,Fitchville Home
Bozrah,2002,Major Employer 9,Norwich Express
Bozrah,2002,Major Employer 10,TVCCA Commissary
Branford,2002,Major Employer 1,Dana Engine Systems
Branford,2002,Major Employer 2,Seton Name Plate
Branford,2002,Major Employer 3,CT Hospice Institute
Branford,2002,Major Employer 4,Lester Telemarketing
Branford,2002,Major Employer 5,Turbine Components
Branford,2002,Major Employer 6,Vine Blakeslee Prestress Inc.
Branford,2002,Major Employer 7,Diagnostic Medical Laboratories
Branford,2002,Major Employer 8,Town of Branford
Branford,2002,Major Employer 9,Neurogen Corporation
Branford,2002,Major Employer 10,Curagen Corporation
Bridgeport,2002,Major Employer 1,Bridgeport Hospital
Bridgeport,2002,Major Employer 2,St. Vincents Medical Center
Bridgeport,2002,Major Employer 3,People's Bank
Bridgeport,2002,Major Employer 4,Bridgeport Health Care Center
Bridgeport,2002,Major Employer 5,Sikorsky Aircraft
Bridgeport,2002,Major Employer 6,"Bridgeport Machines, Inc."
Bridgeport,2002,Major Employer 7,Casco Products Corporation
Bridgeport,2002,Major Employer 8,Southern New England Telephone/ SBC
Bridgeport,2002,Major Employer 9,Lacey Manufacturing Company
Bridgeport,2002,Major Employer 10,"Remington Products, Inc."
Bridgewater,2002,Major Employer 1,Bridgewater Fire Dept
Bridgewater,2002,Major Employer 2,New England Cafe and Catrg Co
Bridgewater,2002,Major Employer 3,Tlg Services Inc
Bridgewater,2002,Major Employer 4,Bridgewater Rod and Gun Club
Bridgewater,2002,Major Employer 5,McDonaugh House
Bridgewater,2002,Major Employer 6,Bridgewater Village Store
Bridgewater,2002,Major Employer 7,Burnham Elementary School
Bridgewater,2002,Major Employer 8,Town of Bridgewater
Bridgewater,2002,Major Employer 9,Aspetuck Woodworkers Inc
Bridgewater,2002,Major Employer 10,
Bristol,2002,Major Employer 1,ESPN Inc.
Bristol,2002,Major Employer 2,Bristol Hospital
Bristol,2002,Major Employer 3,Cigna
Bristol,2002,Major Employer 4,Associated Spring Company
Bristol,2002,Major Employer 5,Rowley Spring
Bristol,2002,Major Employer 6,Theis Precision Steel
Bristol,2002,Major Employer 7,Quality Coils
Bristol,2002,Major Employer 8,Eastern Plastics
Bristol,2002,Major Employer 9,Classic Coils
Bristol,2002,Major Employer 10,Locknetics
Brookfield,2002,Major Employer 1,DATAHR Rehabilitation
Brookfield,2002,Major Employer 2,Regional YMCA
Brookfield,2002,Major Employer 3,UPS
Brookfield,2002,Major Employer 4,Photronics
Brookfield,2002,Major Employer 5,Rapid Power Technologies
Brookfield,2002,Major Employer 6,
Brookfield,2002,Major Employer 7,
Brookfield,2002,Major Employer 8,
Brookfield,2002,Major Employer 9,
Brookfield,2002,Major Employer 10,
Brooklyn,2002,Major Employer 1,Brooklyn Correctional Instn
Brooklyn,2002,Major Employer 2,Brooklyn  School System
Brooklyn,2002,Major Employer 3,Pierce Memorial Baptist Hm Inc
Brooklyn,2002,Major Employer 4,Learning Clinic Inc
Brooklyn,2002,Major Employer 5,Hanks Restaurant
Brooklyn,2002,Major Employer 6,Eastconn Plaza
Brooklyn,2002,Major Employer 7,Dr. Jeffrey Westfall
Brooklyn,2002,Major Employer 8,VGR Radiator Shop
Brooklyn,2002,Major Employer 9,NAPA Auto Parts
Brooklyn,2002,Major Employer 10,
Burlington,2002,Major Employer 1,Regional School District 10
Burlington,2002,Major Employer 2,Town of Burlington
Burlington,2002,Major Employer 3,State of Connecticut - Fish Hatchery
Burlington,2002,Major Employer 4,The Crescent Manufacturing Co.
Burlington,2002,Major Employer 5,Cassille's Restaurant
Burlington,2002,Major Employer 6,Energy Savings Product (ESP)
Burlington,2002,Major Employer 7,US Post Office
Burlington,2002,Major Employer 8,Marinelli's Supper Club
Burlington,2002,Major Employer 9,Hanks Garage/ Sikorsky Bus Co.
Burlington,2002,Major Employer 10,Burlington Acadmey of Learning
Canaan,2002,Major Employer 1,Hamilton Book
Canaan,2002,Major Employer 2,Telemonitor
Canaan,2002,Major Employer 3,CT Light & Power
Canaan,2002,Major Employer 4,
Canaan,2002,Major Employer 5,
Canaan,2002,Major Employer 6,
Canaan,2002,Major Employer 7,
Canaan,2002,Major Employer 8,
Canaan,2002,Major Employer 9,
Canaan,2002,Major Employer 10,
Canterbury,2002,Major Employer 1,Better Val-U Supermarkets Inc
Canterbury,2002,Major Employer 2,Canterbury Elementary School
Canterbury,2002,Major Employer 3,Dr Helen Baldwin Middle School
Canterbury,2002,Major Employer 4,Canterbury Machinery Rnd Llc
Canterbury,2002,Major Employer 5,Eds Garage Incorporated
Canterbury,2002,Major Employer 6,Town of Canterbury
Canterbury,2002,Major Employer 7,Childrens Dscvery Ctrs of Amer
Canterbury,2002,Major Employer 8,Harts Farm Greenhouse & Flor
Canterbury,2002,Major Employer 9,Canterbury Waste Management
Canterbury,2002,Major Employer 10,Savings Institute
Canton,2002,Major Employer 1,Town of Canton
Canton,2002,Major Employer 2,Inertia Dynamics
Canton,2002,Major Employer 3,Cherry Brook Health Center
Canton,2002,Major Employer 4,Funny Bone Interactive
Canton,2002,Major Employer 5,Suburban Sanitation Service
Canton,2002,Major Employer 6,Mitchell Subaru
Canton,2002,Major Employer 7,Acura of Avon
Canton,2002,Major Employer 8,Margaritas Restaurant
Canton,2002,Major Employer 9,Canton Village Construction
Canton,2002,Major Employer 10,Horton Electric
Chaplin,2002,Major Employer 1,Parish Hill High School
Chaplin,2002,Major Employer 2,Chaplin Elementary School
Chaplin,2002,Major Employer 3,Eden Camp & Retreat Center
Chaplin,2002,Major Employer 4,Hite Automotive Chaplin Inc
Chaplin,2002,Major Employer 5,Algonquin Gas Transmission Co
Chaplin,2002,Major Employer 6,Selectmans Office
Chaplin,2002,Major Employer 7,Ireland Farm
Chaplin,2002,Major Employer 8,Garrison Sand & Gravel Inc
Chaplin,2002,Major Employer 9,
Chaplin,2002,Major Employer 10,
Cheshire,2002,Major Employer 1,Bozzuto's
Cheshire,2002,Major Employer 2,Pratt & Whitney Eagle Service UTC
Cheshire,2002,Major Employer 3,Cheshirre Direct
Cheshire,2002,Major Employer 4,Ellim Park Place
Cheshire,2002,Major Employer 5,"Condor Pacific Industries, Inc."
Cheshire,2002,Major Employer 6,Protocol
Cheshire,2002,Major Employer 7,Omnicare
Cheshire,2002,Major Employer 8,State Farm Insurance
Cheshire,2002,Major Employer 9,Cheshire Convalescent Center
Cheshire,2002,Major Employer 10,Stop & Shop
Chester,2002,Major Employer 1,Whelen Engineering Inc
Chester,2002,Major Employer 2,Chester Village West
Chester,2002,Major Employer 3,Greenwald Industries (Division of The Eastern Company)
Chester,2002,Major Employer 4,First Student Trnsp Svcs
Chester,2002,Major Employer 5,Chesterfield Healthcare Center
Chester,2002,Major Employer 6,Aaron Manor Nursing & Rehab
Chester,2002,Major Employer 7,GBR Systems Corporation
Chester,2002,Major Employer 8,"Roto Frank of America, INC."
Chester,2002,Major Employer 9,Chester Precision Company
Chester,2002,Major Employer 10,Sage American Bar and Grille
Clinton,2002,Major Employer 1,UniLever
Clinton,2002,Major Employer 2,Clinton Crossing Premium Outlets
Clinton,2002,Major Employer 3,The Connecticut Water Company
Clinton,2002,Major Employer 4,Clinton Public Works
Clinton,2002,Major Employer 5,Clinton Nurseries
Clinton,2002,Major Employer 6,Stop & Shop - 652
Clinton,2002,Major Employer 7,Shaws
Clinton,2002,Major Employer 8,Stanley Bostitch
Clinton,2002,Major Employer 9,Nike Inc
Clinton,2002,Major Employer 10,
Colchester,2002,Major Employer 1,S & S Worldwide
Colchester,2002,Major Employer 2,Colechester Public School System
Colchester,2002,Major Employer 3,Tri Town Foods
Colchester,2002,Major Employer 4,Harrington Court/Genesis Elder Care
Colchester,2002,Major Employer 5,Liberty Specialty Care Center
Colchester,2002,Major Employer 6,Alpha Q
Colchester,2002,Major Employer 7,Paradise Agencies
Colchester,2002,Major Employer 8,Colcehster Town Hall
Colchester,2002,Major Employer 9,Laidlaw
Colchester,2002,Major Employer 10,M&J Bus Co.
Colebrook,2002,Major Employer 1,Painting By Marge Inc
Colebrook,2002,Major Employer 2,Natures Classroom of Mass
Colebrook,2002,Major Employer 3,Colebrook Consolidated School
Colebrook,2002,Major Employer 4,YMCA Greater Hartford Outdoor Camp
Colebrook,2002,Major Employer 5,G McMahon Builder
Colebrook,2002,Major Employer 6,Town of Colebrook
Colebrook,2002,Major Employer 7,Millard Welding
Colebrook,2002,Major Employer 8,Colebrook General Store
Colebrook,2002,Major Employer 9,
Colebrook,2002,Major Employer 10,
Columbia,2002,Major Employer 1,"Columbia Manufacturing Co., Inc"
Columbia,2002,Major Employer 2,"Columbia Ford, Inc"
Columbia,2002,Major Employer 3,Horace W. Porter School
Columbia,2002,Major Employer 4,East-conn
Columbia,2002,Major Employer 5,Wile Motors (Including Hyundai)
Columbia,2002,Major Employer 6,Leventi's Restaurant
Columbia,2002,Major Employer 7,Town of Columbia
Columbia,2002,Major Employer 8,United Services
Columbia,2002,Major Employer 9,W.H. Rose Company
Columbia,2002,Major Employer 10,Columbia Post Office
Cornwall,2002,Major Employer 1,Mohawk
Cornwall,2002,Major Employer 2,Cornwall Consolidated School
Cornwall,2002,Major Employer 3,Trinity Episcopal Center
Cornwall,2002,Major Employer 4,Ian Ingersoll Cabinetmaker
Cornwall,2002,Major Employer 5,Northwest Lumber and Hardware
Cornwall,2002,Major Employer 6,Mohawk Mountain Ski Area Inc
Cornwall,2002,Major Employer 7,Cornwall Electric Company Inc
Cornwall,2002,Major Employer 8,
Cornwall,2002,Major Employer 9,
Cornwall,2002,Major Employer 10,
Coventry,2002,Major Employer 1,Coventry Board of Education
Coventry,2002,Major Employer 2,Town of Coventry
Coventry,2002,Major Employer 3,Highland Park Market
Coventry,2002,Major Employer 4,Pelletier Builders
Coventry,2002,Major Employer 5,Sabrina Pools
Coventry,2002,Major Employer 6,Genzyme Sunsector Products
Coventry,2002,Major Employer 7,U.S. Post Office
Coventry,2002,Major Employer 8,Savings Bank of Manchester
Coventry,2002,Major Employer 9,
Coventry,2002,Major Employer 10,
Cromwell,2002,Major Employer 1,Stop & Shop
Cromwell,2002,Major Employer 2,Wal-Mart
Cromwell,2002,Major Employer 3,Covenant Village
Cromwell,2002,Major Employer 4,Millane Nurseries
Cromwell,2002,Major Employer 5,Apria Healthcare
Cromwell,2002,Major Employer 6,Radisson Hotel
Cromwell,2002,Major Employer 7,Holiday Inn
Cromwell,2002,Major Employer 8,Liturgical Publications
Cromwell,2002,Major Employer 9,Xpect
Cromwell,2002,Major Employer 10,K-mart
Danbury,2002,Major Employer 1,Danbury Hospital
Danbury,2002,Major Employer 2,Danbury School Department
Danbury,2002,Major Employer 3,Cendant Mobility
Danbury,2002,Major Employer 4,G.E. Capital
Danbury,2002,Major Employer 5,Scholastic
Danbury,2002,Major Employer 6,"Pitney Bowes, Inc."
Danbury,2002,Major Employer 7,Goodrich
Danbury,2002,Major Employer 8,Barden Corporation/ FAG Bearings
Danbury,2002,Major Employer 9,"Praxair, Inc."
Danbury,2002,Major Employer 10,Branson Ultrasonics Corporation
Darien,2002,Major Employer 1,Stop & Shop 626
Darien,2002,Major Employer 2,Town of Darien
Darien,2002,Major Employer 3,Frontline Marketing Inc
Darien,2002,Major Employer 4,Darien YMCA
Darien,2002,Major Employer 5,Casey Rogers & Associates Inc
Darien,2002,Major Employer 6,BSI International Holdings
Darien,2002,Major Employer 7,Aei Ocean Services Corp
Darien,2002,Major Employer 8,Zotos International Inc
Darien,2002,Major Employer 9,Rings End of Lewisboro
Darien,2002,Major Employer 10,Keane Inc
Deep River,2002,Major Employer 1,Silgan Plastics Corporation
Deep River,2002,Major Employer 2,Mount Saint John School
Deep River,2002,Major Employer 3,Tri-Town Precision Plastics Inc
Deep River,2002,Major Employer 4,Regional School District 4-Valley Regional High School
Deep River,2002,Major Employer 5,Regional School District 4-John Winthrop Jr High School
Deep River,2002,Major Employer 6,Champion Mfg Inc
Deep River,2002,Major Employer 7,Deep River Elementary School
Deep River,2002,Major Employer 8,Town of Deep River
Deep River,2002,Major Employer 9,Regional School District 4-Office of the Superintendent
Deep River,2002,Major Employer 10,InterPRO
Derby,2002,Major Employer 1,"Derby Cellular Products, Inc"
Derby,2002,Major Employer 2,Griffin Hospital Inc
Derby,2002,Major Employer 3,Home Depot
Derby,2002,Major Employer 4,Housatonic Lumber
Derby,2002,Major Employer 5,City Of Derby
Derby,2002,Major Employer 6,Kmart
Derby,2002,Major Employer 7,"Lifetouch Studios, Inc."
Derby,2002,Major Employer 8,Wal Mart
Derby,2002,Major Employer 9,W.E. Bassett Co.
Derby,2002,Major Employer 10,Carlon Products Co.
Durham,2002,Major Employer 1,Hobson & Motzer Inc
Durham,2002,Major Employer 2,The Durham Manufacturing Co
Durham,2002,Major Employer 3,Graphite Die Mold Inc
Durham,2002,Major Employer 4,W A Parsons Co Inc
Durham,2002,Major Employer 5,Twin Maples Health Care Fcilty
Durham,2002,Major Employer 6,Korn Elementary School
Durham,2002,Major Employer 7,Frederick F Brwster Elementary
Durham,2002,Major Employer 8,Coginchaug High School
Durham,2002,Major Employer 9,Town of Durham
Durham,2002,Major Employer 10,Transformer Technology Inc
East Granby,2002,Major Employer 1,Rockbestos-Suprenant
East Granby,2002,Major Employer 2,Galasso Materiels
East Granby,2002,Major Employer 3,"Roncari Development, Inc."
East Granby,2002,Major Employer 4,BAX Global
East Granby,2002,Major Employer 5,Hoover Precision Products
East Granby,2002,Major Employer 6,
East Granby,2002,Major Employer 7,
East Granby,2002,Major Employer 8,
East Granby,2002,Major Employer 9,
East Granby,2002,Major Employer 10,
East Haddam,2002,Major Employer 1,Chestelm Health Rehabilitation Center
East Haddam,2002,Major Employer 2,Town of East Haddam
East Haddam,2002,Major Employer 3,Go Fly A Kite Inc
East Haddam,2002,Major Employer 4,Shagbark Lumber & Frm Sups Inc
East Haddam,2002,Major Employer 5,"Brownell & Company, Inc."
East Haddam,2002,Major Employer 6,Chestelm Adult Day Services
East Haddam,2002,Major Employer 7,Haddam Hills Academy
East Haddam,2002,Major Employer 8,Childrens Dscvery Ctrs of Amer
East Haddam,2002,Major Employer 9,Hometown Bank
East Haddam,2002,Major Employer 10,Tri-Town Precision Plaza Inc
East Hampton,2002,Major Employer 1,East Hampton High School
East Hampton,2002,Major Employer 2,Cobalt Health and Rehab Ctr
East Hampton,2002,Major Employer 3,American Distig & Mfg Co Inc
East Hampton,2002,Major Employer 4,Bevin Brothers Mfg. Co.
East Hampton,2002,Major Employer 5,American Distig & Mfg Co Inc
East Hampton,2002,Major Employer 6,Contech of Connecticut
East Hampton,2002,Major Employer 7,Ems Mailing Services Llc
East Hampton,2002,Major Employer 8,
East Hampton,2002,Major Employer 9,
East Hampton,2002,Major Employer 10,
East Hartford,2002,Major Employer 1,Pratt & Whitney
East Hartford,2002,Major Employer 2,United Technologies Corporation
East Hartford,2002,Major Employer 3,Coca-Cola Bottling Company
East Hartford,2002,Major Employer 4,Riverside Health & Riverside Center
East Hartford,2002,Major Employer 5,Connecticut Natural Gas
East Hartford,2002,Major Employer 6,Cellu-Tissue
East Hartford,2002,Major Employer 7,BKM
East Hartford,2002,Major Employer 8,Total Communications
East Hartford,2002,Major Employer 9,Farmstead
East Hartford,2002,Major Employer 10,Department of Information Technology
East Haven,2002,Major Employer 1,Super Stop & Shop
East Haven,2002,Major Employer 2,Thermatool Corp.
East Haven,2002,Major Employer 3,Village at Mariners Point
East Haven,2002,Major Employer 4,Laural Woods
East Haven,2002,Major Employer 5,Talmadge Park Health Care
East Haven,2002,Major Employer 6,Mathog & Moniello Insurance Co
East Haven,2002,Major Employer 7,East Haven Builder Supply
East Haven,2002,Major Employer 8,David Mc Dermott Chevrolet
East Haven,2002,Major Employer 9,Town Fair Tire Centers Inc
East Haven,2002,Major Employer 10,Tek Motive
East Lyme,2002,Major Employer 1,Town of East Lyme
East Lyme,2002,Major Employer 2,Gates Correctional Institution
East Lyme,2002,Major Employer 3,York Correction Instruction For women
East Lyme,2002,Major Employer 4,East Lyme Board of Education
East Lyme,2002,Major Employer 5,Crescent Point Assisted Living
East Lyme,2002,Major Employer 6,Bride Brook Nursing & Rehabilitation
East Lyme,2002,Major Employer 7,HTD Aerospace
East Lyme,2002,Major Employer 8,Colonial IGA Supermarket
East Lyme,2002,Major Employer 9,National Guard
East Lyme,2002,Major Employer 10,
East Windsor,2002,Major Employer 1,Hamilton Sunstrand
East Windsor,2002,Major Employer 2,Englehard Surface Technologies
East Windsor,2002,Major Employer 3,Viking Office Products Supply
East Windsor,2002,Major Employer 4,Wood Group Aero
East Windsor,2002,Major Employer 5,Mulnite Farms
East Windsor,2002,Major Employer 6,
East Windsor,2002,Major Employer 7,
East Windsor,2002,Major Employer 8,
East Windsor,2002,Major Employer 9,
East Windsor,2002,Major Employer 10,
Eastford,2002,Major Employer 1,Whitcraft Llc
Eastford,2002,Major Employer 2,Kochek Co Inc
Eastford,2002,Major Employer 3,Buells Orchard (Seasonal)
Eastford,2002,Major Employer 4,Eastford Elementary School
Eastford,2002,Major Employer 5,King Trucking Company Inc
Eastford,2002,Major Employer 6,Eastford Building Supply Inc
Eastford,2002,Major Employer 7,E R W Inc
Eastford,2002,Major Employer 8,Lindon Tree Service Inc
Eastford,2002,Major Employer 9,
Eastford,2002,Major Employer 10,
Easton,2002,Major Employer 1,Town Hall of Easton
Easton,2002,Major Employer 2,Local and Regional Schools
Easton,2002,Major Employer 3,Bridgeport Hydraulic
Easton,2002,Major Employer 4,Gilbertie's Farm
Easton,2002,Major Employer 5,"Connecticut Golf Club, Inc."
Easton,2002,Major Employer 6,Silverman's Farm
Easton,2002,Major Employer 7,Maple Row Tree Farm
Easton,2002,Major Employer 8,Aspetuck Valley Orchards
Easton,2002,Major Employer 9,
Easton,2002,Major Employer 10,
Ellington,2002,Major Employer 1,Board of Education
Ellington,2002,Major Employer 2,"Country Pure Foods, Inc."
Ellington,2002,Major Employer 3,Rice Packaging Inc.
Ellington,2002,Major Employer 4,Accutime
Ellington,2002,Major Employer 5,Merill
Ellington,2002,Major Employer 6,Truebro
Ellington,2002,Major Employer 7,Action Packaging
Ellington,2002,Major Employer 8,
Ellington,2002,Major Employer 9,
Ellington,2002,Major Employer 10,
Enfield,2002,Major Employer 1,Connecticut Department of Correction
Enfield,2002,Major Employer 2,Lego Systems. Inc.
Enfield,2002,Major Employer 3,Hallmark Cards
Enfield,2002,Major Employer 4,"Retail Brand Alliance, Inc."
Enfield,2002,Major Employer 5,Phoenix Home Life Insurance Co.
Enfield,2002,Major Employer 6,Super Stop & Shop
Enfield,2002,Major Employer 7,The May Company (Filenes)
Enfield,2002,Major Employer 8,Teletech
Enfield,2002,Major Employer 9,Cuno Corporation
Enfield,2002,Major Employer 10,"Jagenberg, Inc."
Essex,2002,Major Employer 1,Doncasters Inc
Essex,2002,Major Employer 2,The Lee Company
Essex,2002,Major Employer 3,Essex Meadows Inc
Essex,2002,Major Employer 4,Essex Credit Corporation
Essex,2002,Major Employer 5,Essex Elementary
Essex,2002,Major Employer 6,Centerbrook Archtects Planners
Essex,2002,Major Employer 7,Olivers Tavern
Essex,2002,Major Employer 8,Soundings Publications Inc
Essex,2002,Major Employer 9,Griswold Inn Llc
Essex,2002,Major Employer 10,Colonial Market
Fairfield,2002,Major Employer 1,General Electric
Fairfield,2002,Major Employer 2,Fairfield University
Fairfield,2002,Major Employer 3,Sacred Heart University
Fairfield,2002,Major Employer 4,Fairfield Town & Schools
